2018-8-18 9:47:39.639	

******************************************


2018-8-18 9:47:39.641	SipPhone Trace App Log Trace 2018/8/18 ÐÇÆÚÁù ÉÏÎç 09:47:39


2018-8-18 9:47:39.642	SipPhone Log Start!!!!!!!
2018-8-18 9:47:39.642	SipPhone Log windows pointer 0040E838!!!!!!!
2018-8-18 9:47:39.642	Success_InParasfromCapi!
2018-8-18 9:47:39.643	Success_Create SipPhone CS Interface!
2018-8-18 9:47:39.661	Success_CSInterfaceInit!
2018-8-18 9:47:39.661	*** Mainproc Begin*** method = /cs/sipphone/Login/800006/1000
2018-8-18 9:47:39.662	Mainproc Login Begin!
2018-8-18 9:47:39.706	Mainproc Login End!
2018-8-18 9:47:39.707	*** Mainproc Begin*** method = /cs/sipphone/Login/800006/1000
2018-8-18 9:47:39.707	Mainproc Login Begin!
2018-8-18 9:47:39.708	EncryptRtpPort:0 SignalEncrypt:0
2018-8-18 9:47:55.612	*** Mainproc Begin*** method = /cs/sipphone/Logout/800006/1000
2018-8-18 9:47:55.614	Mainproc Logout Begin!
2018-8-18 9:47:57.802	Mainproc Logout End!
2018-8-18 9:47:57.805	*** Mainproc Begin*** method = /cs/sipphone/Login/800006/1000
2018-8-18 9:47:57.807	Mainproc Login Begin!
2018-8-18 9:47:57.870	Mainproc Login End!
2018-8-18 9:47:57.870	*** Mainproc Begin*** method = /cs/sipphone/Login/800006/1000
2018-8-18 9:47:57.871	Mainproc Login Begin!
2018-8-18 9:47:57.872	EncryptRtpPort:0 SignalEncrypt:0
2018-8-18 9:51:50.146	*** Mainproc Begin*** method = /cs/sipphone/Dial/800006/1000
2018-8-18 9:51:50.147	Mainproc Dial Begin!
2018-8-18 9:51:50.149	Caller = 1001, Called = 
2018-8-18 9:51:50.151	CSipPhoneProc::shellBeginDial Begin: Caller = 1001,Called = 123205180
2018-8-18 9:51:50.153	CSipPhoneProc::shellBeginDial : 1 m_bSecure = 0
2018-8-18 9:51:50.155	CSipPhoneProc::shellBeginDial : 2, idinfo = "1001"<sip:1001@192.168.1.50:5060>
2018-8-18 9:51:50.157	CSipPhoneProc::shellBeginDial : 3
2018-8-18 9:51:50.158	CSipPhoneProc::shellBeginDial : 4 url = <sip:@192.168.1.50:5060>
2018-8-18 9:51:52.833	CSipPhoneProc::shellBeginDial : 5 pjsua_call_make_call status = 171042
2018-8-18 9:51:52.833	
2018-8-18 9:51:52.834	Mainproc Dial End! ret = 1
2018-8-18 9:52:1.2	*** Mainproc Begin*** method = /cs/sipphone/Dial/800006/1000
2018-8-18 9:52:1.3	Mainproc Dial Begin!
2018-8-18 9:52:1.6	Caller = 1001, Called = 15222
2018-8-18 9:52:1.8	CSipPhoneProc::shellBeginDial Begin: Caller = 1001,Called = 77388272
2018-8-18 9:52:1.10	CSipPhoneProc::shellBeginDial : 1 m_bSecure = 0
2018-8-18 9:52:1.16	CSipPhoneProc::shellBeginDial : 2, idinfo = "1001"<sip:1001@192.168.1.50:5060>
2018-8-18 9:52:1.18	CSipPhoneProc::shellBeginDial : 3
2018-8-18 9:52:1.19	CSipPhoneProc::shellBeginDial : 4 url = <sip:15222@192.168.1.50:5060>
